Product Name
ファキール 2021 / シモン・ビュッセー
"ア・ブラ・ル・コー NV 2019,2020,2021 / シモン・ビュッセー"
シー・ロゼ 2022 / シモン・ビュッセー
レビスクーレ 2021 / ル・シャピートル
レゼポール 2021 / ル・シャピートル
マアサイ 2020 / ロスタル
アン・クール・サンプル 2020 / ロスタル
イルリウス 2018 / ロスタル
アブステム 2018 / コス・エ・メゾンヌーブ
オクルモンディ 2020 / ヴァレリー・クレージュ
ザンゾラン 2020 / ヴァレリー・クレージュ
パンパン 2022 (ピケット) / ドメーヌ・ラ・カルメット
ボワ・グラン 2020 / ドメーヌ・ラ・カルメット
ヴィーニュ・ノワール 2020 / ドメーヌ・ラ・カルメット
トレズポット 2021 / ドメーヌ・ラ・カルメット
セルパン・ア・プリュム 2021 / ドメーヌ・ラ・カルメット
レ・プティ・ガレ 2022 / シモン・ビュッセー
オリジネル 2020 / シモン・ビュッセー
カオ 2021 / シモン・ビュッセー
ノンドワゾー 2021 / ル・シャピートル
テゼタ 2020 / ル・シャピートル
ルージュ・マグナム 2017 (1500ml) / ロスタル
フィオルッティ 2020 / ロスタル
シィユー 2020 / ロスタル
レ・トリユ 2020 / ロスタル
ザンブル 2020 / ロスタル
ファキール 2020 / シモン・ビュッセー
ル・ボン・ラ・ブルト・エ・ル・トルアン 2021 / シモン・ビュッセー
ヴィエイユ・ヴィーニュ 2020 / シモン・ビュッセー
オリジネル 2019 / シモン・ビュッセー
プランタン 2021 / シモン・ビュッセー
メルロー 2021 / シモン・ビュッセー
ピュール・コ 2019 / シモン・ビュッセー
パンパン 2020 (ピケット) / ドメーヌ・ラ・カルメット
ニクタロプ 2020 / ドメーヌ・ラ・カルメット
レシュルジャンス 2019 / ドメーヌ・ラ・カルメット
ビュット・ルージュ NV / ドメーヌ・ラ・カルメット
レスパス・ブリュ・アントル・レ・ニュアージュ NV / ドメーヌ・ラ・カルメット
トレズポット NV / ドメーヌ・ラ・カルメット
セルパン・ア・プリュム NV / ドメーヌ・ラ・カルメット
ヴィエイユ・ヴィーニュ 2019 / シモン・ビュッセー
プランタン 2020 / シモン・ビュッセー
ア・ブラ・ル・コー NV19〜21 / シモン・ビュッセー
ザンゾラン 2019 / ヴァレリー・クレージュ
ピュール・コ 2018 / シモン・ビュッセー
オリジネル 2018 / シモン・ビュッセー
ポリチネル 2018 / シモン・ビュッセー
レ・ヴィニャル 2018 / ロスタル
ル・トゥール 2018 / ロスタル
プランシャン 2018 / ロスタル
ロスタル・ルージュ 2018 / ロスタル
ニクタロプ 2019 / ドメーヌ・ラ・カルメット
ビュット・ルージュ 2018 / ドメーヌ・ラ・カルメット
ボワ・グラン 2018 / ドメーヌ・ラ・カルメット
トレズポット 2019 / ドメーヌ・ラ・カルメット
セルパン・ア・プリュム 2019 / ドメーヌ・ラ・カルメット
プランタン 2018 / シモン・ビュッセー
プランシャン 2016 / ロスタル
ル・トゥール 2016 / ロスタル
"プランタン 2015,2016 / シモン・ビュッセー"
ピュール・コ 2016 / シモン・ビュッセー
レ・ヴァン・デ・オビット 2019 / シモン・ビュッセー
メルロー 2016 / シモン・ビュッセー
オブラス・コンプレタス (No.2) 2018 / ロスタル
"ル・トゥール 2014,2018 / ロスタル"
バラン 2017 / ロスタル
ヴァンドルディ (No.2) 2016 / ロスタル
ビュット・ルージュ 2017 / ドメーヌ・ラ・カルメット
レスパス・ブリュ・アントル・レ・ニュアージュ 2017 / ドメーヌ・ラ・カルメット
トレズポット 2018 / ドメーヌ・ラ・カルメット
セルパン・ア・プリュム 2018 / ドメーヌ・ラ・カルメット
ニクタロプ 2018  / ドメーヌ・ラ・カルメット
パンパン 2019 (ピケット) / ドメーヌ・ラ・カルメット
カオ 2017 / シモン・ビュッセー
オリジネル 2016 / シモン・ビュッセー
ピュール・コ 2014 / シモン・ビュッセー
パンパン 2018 (ピケット) / ドメーヌ・ラ・カルメット
ポリチネル 2014 / シモン・ビュッセー
プランタン 2014 / シモン・ビュッセー
ソヴァージュ 2014 / シモン・ビュッセー
ボワ・グラン 2017 / ドメーヌ・ラ・カルメット
トレズポット 2017 / ドメーヌ・ラ・カルメット
セルパン・ア・プリュム 2017 / ドメーヌ・ラ・カルメット
ピュール・コ 2015 / シモン・ビュッセー
ポリチネル 2016 / シモン・ビュッセー
シー・ロゼ 2016 / シモン・ビュッセー
ポリチネル　2015 / シモン・ビュッセー
オリジネル 2015 / シモン・ビュッセー
プランタン 2016 / シモン・ビュッセー
タナ　2014 / シモン・ビュッセー
